"win","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","inhibitorKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist"
FALSE,13,13,11,4,2,4,450,2,0,0,0,0,113863,94620,16584,2657,0,38173,34442,1073,2657,2481,1,22154,2404,2362,18,69,29376,11195,17526,654,14856,14450,1,0,152,0,0,0,152,16,0,0,9,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,5,9,10,2,1,1,281,0,0,0,0,0,61020,6813,45806,8400,1680,15953,3120,12832,0,1639,5,0,0,0,0,0,15430,4731,10530,168,9306,9050,0,0,59,1,0,1,93,11,0,0,3,0,FALSE,FALSE,FALSE,FALSE,NA,NA
FALSE,12,14,17,3,2,3,630,1,0,0,0,0,99277,95086,4191,0,826,28928,27337,1591,0,200,1,0,0,0,0,0,30703,9188,20342,1173,14787,13415,0,0,83,0,0,0,411,16,0,0,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,10,7,4,4,1,2,538,0,0,0,0,0,52668,40430,8431,3806,455,13607,11151,1475,980,4549,1,8615,0,0,12,13,17951,5178,12299,474,9087,8575,0,0,24,43,30,0,242,13,0,0,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,14,19,10,6,2,3,1129,2,0,0,0,0,376785,347097,24686,5001,0,66937,63674,1669,1593,3622,1,0,0,0,0,0,51014,24653,24419,1941,24400,20550,1,0,207,11,11,0,2019,18,0,0,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,5,2,5,3,1,1,821,0,0,0,0,0,78231,28067,45037,5126,718,6148,1368,4339,440,9724,1,11176,10105,602,9,13,18675,3430,14848,397,7760,7100,0,0,23,76,53,4,197,12,0,0,4,0,FALSE,FALSE,FALSE,FALSE,NA,NA
TRUE,3,4,1,2,1,1,667,0,0,0,0,0,74381,58667,15028,685,0,17177,13771,2759,645,161,1,0,0,0,0,0,9516,1373,7588,554,6505,5885,1,0,112,0,0,0,117,13,0,0,5,0,FALSE,FALSE,TRUE,FALSE,NA,NA
TRUE,0,0,1,0,0,0,0,0,0,0,0,0,2044,577,1044,421,0,479,335,144,0,74,2,457,0,0,1,2,421,251,170,0,892,500,0,0,3,0,0,0,25,3,0,0,1,0,FALSE,FALSE,NA,NA,NA,NA
FALSE,6,14,4,0,1,0,464,0,0,0,0,0,59755,516,53546,5693,355,13296,106,11019,2171,1815,3,7220,0,0,9,10,27183,14663,10577,1941,9729,9100,0,0,81,2,0,0,338,14,0,0,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,5,7,5,2,1,1,595,0,0,0,0,0,71056,58461,11971,623,497,13474,11360,1490,623,1302,1,0,0,0,0,0,20484,7904,12505,74,8342,7820,0,0,86,0,0,0,40,13,0,0,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
